id;name;description;category;assigned_to_member;due_date;status;status_tlm;when_created
1;Sleek Tuna magenta;Wells;Naira iterate;73710;2019-10-17T09:08:28;OPEN;2019-10-16T23:17:46;2019-10-17T07:40:11
2;B2B Mouse;Junctions one-to-one;analyzing holistic;25994;2019-10-16T10:33:47;DRAFT;2019-10-17T02:48:12;2019-10-17T00:21:47
3;Credit Card Account clear-thinking Frozen;parsing;models New Mexico District;8274;2019-10-16T11:50:48;OPEN;2019-10-16T14:46:43;2019-10-16T22:42:11
4;Liaison engage navigate;Assistant generating;Practical Steel Shirt Plastic Movies;7535;2019-10-16T13:28:43;DRAFT;2019-10-16T20:54:06;2019-10-16T20:11:18
5;capacitor program enhance;Falls;User-friendly;27473;2019-10-16T19:41:02;DELETED;2019-10-16T18:06:40;2019-10-16T16:03:51
6;Fantastic Concrete Computer Baby;Kyrgyz Republic transmit;solution connecting;96797;2019-10-16T20:46:10;COMPLETED;2019-10-17T00:32:54;2019-10-16T20:04:23
7;Burg;transmit Credit Card Account;digital Corporate Checking Account;98046;2019-10-17T01:49:04;DELETED;2019-10-16T23:43:57;2019-10-17T08:02:52
8;array Luxembourg Spurs;empower Home Loan Account SMS;back-end Via indexing;76891;2019-10-17T04:02:02;DRAFT;2019-10-16T10:42:41;2019-10-16T19:19:57
9;frictionless orchid;Future-proofed Awesome;Creek;58476;2019-10-17T06:35:10;DRAFT;2019-10-17T05:52:00;2019-10-16T17:30:57
10;e-business RSS;Rand Soap;Automated;82179;2019-10-17T06:10:39;COMPLETED;2019-10-17T08:06:11;2019-10-16T21:03:46
